Date/Time,Address,Location,Call Type,Description,Incident Number,Duration
1/2/15 23:20,3000 BLK 23 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00000411,0:19:07
1/2/15 23:14,0 BLK BRIARWOOD PL,Fargo,Loud Party/People,LOUD PARTY,2015-00000064,1:35:43
1/2/15 23:13,1300 BLK BELSLY BLVD,Moorhead,Loud Party/People,LOUD PARTY,2015-00000193,1:40:29
1/2/15 22:16,900 BLK 2 AVE E,West Fargo,Loud Party/People,LOUD MUSIC/POSS PARTY,2015-00000079,0:15:05
1/2/15 3:39,5000 BLK AMBER VALLEY PKWY S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00000238,0:41:09
1/1/15 23:22,1500 BLK 20 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00000086,0:39:32
1/1/15 3:16,600 BLK 2 AVE NW,Dilworth,Loud Party/People,LOUD PARTY,Multiple incidents,0:21:10
1/1/15 1:56,4900 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00000033,0:28:28
6/30/15 1:38,7 AVE S,Moorhead,Loud Party/People,LOUD PEOPLE,2015-00018008,0:11:24
6/30/15 1:05,700 BLK MAIN AVE W,West Fargo,Loud Party/People,LOUD PPL,2015-00010811,0:55:23
6/29/15 23:15,1100 BLK 27 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00044268,0:29:29
6/29/15 22:40,900 BLK UNIVERSITY DR N,Fargo,Loud Party/People,PEOPLE STOMPING,2015-00044267,0:54:56
